gid_1,name_1,Population,GDP,GDP_per_capita,Cells,year
LKA.2_1,Anuradhapura,0.7643711348310587,9472.49097899029,12392.528377048016,9.0,2017
LKA.3_1,Badulla,0.6091987443098024,7798.422010978837,12801.113074870393,3.0,2017
LKA.4_1,Batticaloa,0.2536230309471595,4488.2764488936455,17696.643842367554,4.0,2017
LKA.5_1,Colombo,3.6456566115236573,70721.83214897747,19398.928556636645,2.0,2017
LKA.6_1,Galle,1.742005296691713,26198.29183028261,15039.157389496151,6.0,2017
LKA.7_1,Gampaha,1.7266550226415027,25531.114465412873,14786.45944362088,3.0,2017
LKA.8_1,Hambantota,0.7319782764397903,9024.616162483626,12329.076494425113,8.0,2017
LKA.9_1,Jaffna,0.30734744510437195,3924.000291481157,12767.310592572547,6.0,2017
LKA.10_1,Kalutara,1.9823259737852528,28826.50436911091,14541.757889630371,4.0,2018
LKA.11_1,Kandy,0.22170410520250633,2662.8526636258907,12010.8405804828,2.0,2018
LKA.12_1,Kegalle,2.071232920324376,29705.39805960352,14341.891618327192,3.0,2018
LKA.13_1,Kilinochchi,0.33101270930533266,5496.983170363696,16606.56227339347,4.0,2018
LKA.14_1,Kurunegala,1.3230506250872867,17390.6174173582,13144.332565664958,6.0,2018
LKA.15_1,Mannar,0.10075956301872548,1158.5448345351072,11498.112931670808,5.0,2018
LKA.16_1,Matale,0.2515749168606835,3165.682131449326,12583.456931846704,3.0,2018
LKA.17_1,Matara,0.8828104377146406,12824.429009988326,14526.820778407799,4.0,2018
LKA.18_1,Moneragala,0.5602512666921089,6943.343448158197,12393.26684463165,8.0,2018
LKA.19_1,Mullaitivu,0.16151474832306872,2038.7491966407702,12622.681320487072,4.0,2018
LKA.1_1,Ampara,0.6687414220569139,11974.702741676174,17906.327239076054,6.0,2018
LKA.20_1,Nuwara Eliya,0.7599116822956593,10904.955125793742,14350.292777247954,2.0,2018
LKA.21_1,Polonnaruwa,0.3977096065271062,4976.840594188747,12513.755042649558,4.0,2018
LKA.22_1,Puttalam,0.851000816498892,11065.352975060723,13002.752477470895,11.0,2018
LKA.23_1,Ratnapura,1.5543183602737247,21227.44897189992,13657.079215201216,5.0,2018
LKA.24_1,Trincomalee,0.21427029037874587,3613.5280365243902,16864.344702838127,4.0,2018
LKA.25_1,Vavuniya,0.14732282666754037,1851.4761690783375,12567.476547653516,4.0,2018
LKA.2_1,Anuradhapura,0.7933777123124475,10000.964507620814,12605.552629492371,9.0,2018
LKA.3_1,Badulla,0.5983209424962875,7738.9117620165935,12934.382222572147,3.0,2018
LKA.4_1,Batticaloa,0.26226917678258455,4834.578208434884,18433.6499917512,4.0,2018
LKA.5_1,Colombo,3.6771566813908114,71999.26690772311,19580.1466040579,2.0,2018
LKA.6_1,Galle,1.7399347295269854,26926.369270177274,15475.505381456129,6.0,2018
LKA.7_1,Gampaha,1.646973535035907,25563.36178038589,15521.416244146609,3.0,2018
LKA.8_1,Hambantota,0.7539145171387646,9686.262128078288,12847.95810119073,8.0,2018
LKA.9_1,Jaffna,0.30165843430364825,3877.689020507176,12854.568543586316,6.0,2018
LKA.10_1,Kalutara,1.9968830173171137,28529.930978395478,14287.232016588781,4.0,2019
LKA.11_1,Kandy,0.22320058470316384,2645.5836292833687,11852.942199061667,2.0,2019
LKA.12_1,Kegalle,2.085514049547446,29551.253847307577,14169.769728341154,3.0,2019
LKA.13_1,Kilinochchi,0.3334929145772084,5342.130259652844,16018.721916252478,4.0,2019
LKA.14_1,Kurunegala,1.3316332578087173,17240.64499263725,12946.991892503323,6.0,2019
LKA.15_1,Mannar,0.10338299881392142,1164.1085590061243,11260.154690438008,5.0,2019
LKA.16_1,Matale,0.25682421422395324,3207.863175376196,12490.501275627024,3.0,2019
LKA.17_1,Matara,0.889340478204132,12769.24523100995,14358.106421508233,4.0,2019
LKA.18_1,Moneragala,0.5665507567731691,6932.35220731593,12236.065567716552,8.0,2019
LKA.19_1,Mullaitivu,0.1593987403764813,1977.710926196155,12407.318411205959,4.0,2019
LKA.1_1,Ampara,0.6720686381535701,11888.81016853631,17689.87495265279,6.0,2019
LKA.20_1,Nuwara Eliya,0.766171013619998,10850.032525567709,14161.371720790601,2.0,2019
LKA.21_1,Polonnaruwa,0.4008511834007706,4993.507645842262,12457.260581041513,4.0,2019
LKA.22_1,Puttalam,0.851424470446646,10947.753069722865,12858.161175447327,11.0,2019
LKA.23_1,Ratnapura,1.5641052150442096,21106.28187026106,13494.157341368169,5.0,2019
LKA.24_1,Trincomalee,0.20961422083040177,3663.4009832605593,17476.87236461216,4.0,2019
LKA.25_1,Vavuniya,0.15291186320890668,1866.1308883287736,12203.964095181314,4.0,2019
LKA.2_1,Anuradhapura,0.8081460734983446,10087.774302429545,12482.612529144719,9.0,2019
LKA.3_1,Badulla,0.5998321061328425,7633.65119148221,12726.313102339365,3.0,2019
LKA.4_1,Batticaloa,0.2642999007458627,4787.929568016024,18115.51784357215,4.0,2019
LKA.5_1,Colombo,3.704156931464472,71316.1584189613,19253.00675389199,2.0,2019
LKA.6_1,Galle,1.7518474252188005,26667.837353638148,15222.694037014904,6.0,2019
LKA.7_1,Gampaha,1.6577666349877584,25601.071056583325,15443.109130237968,3.0,2019
LKA.8_1,Hambantota,0.7592308465093238,9721.533970686316,12804.450735086051,8.0,2019
LKA.9_1,Jaffna,0.3019044643927837,3754.303180502753,12435.401338147589,6.0,2019
LKA.10_1,Kalutara,2.0020348150408154,25754.811207391936,12864.317350478681,4.0,2020
LKA.11_1,Kandy,0.23438647173677707,2509.4650566081755,10706.526865707416,2.0,2020
LKA.12_1,Kegalle,2.0997047657833785,26176.31248511291,12466.663367002833,3.0,2020
LKA.13_1,Kilinochchi,0.33624064528929853,4744.510621683061,14110.461326294819,4.0,2020
LKA.14_1,Kurunegala,1.3394402305113329,15277.190003539123,11405.652641706183,6.0,2020
LKA.15_1,Mannar,0.10590355424978501,1052.7951173653782,9941.074450459395,5.0,2020
LKA.16_1,Matale,0.2590790476256064,2827.0285942987866,10911.837990018046,3.0,2020
LKA.17_1,Matara,0.8970726665565639,11311.526664720977,12609.376125727425,4.0,2020
LKA.18_1,Moneragala,0.5747022309509526,6156.784089278599,10712.998415007098,8.0,2020
LKA.19_1,Mullaitivu,0.16274310740252812,1755.160105388851,10784.850636086512,4.0,2020
LKA.1_1,Ampara,0.6825368066008561,10554.603395215872,15463.786411431065,6.0,2020
LKA.20_1,Nuwara Eliya,0.7703674004331138,9599.389740106659,12460.794336195582,2.0,2020
LKA.21_1,Polonnaruwa,0.40625869896747757,4402.062681722804,10835.614579849784,4.0,2020
LKA.22_1,Puttalam,0.8568783943533501,9696.270042948947,11315.806428129526,11.0,2020
LKA.23_1,Ratnapura,1.5835672435643797,18737.796947345654,11832.650001757802,5.0,2020
LKA.24_1,Trincomalee,0.21250293497423958,3250.629447054355,15296.868475950267,4.0,2020
LKA.25_1,Vavuniya,0.1558960101991227,1671.2066134326265,10720.00887834159,4.0,2020
LKA.2_1,Anuradhapura,0.818885857104749,8917.581180139265,10889.895218935939,9.0,2020
LKA.3_1,Badulla,0.5935214549692721,6738.438457432741,11353.319077204387,3.0,2020
LKA.4_1,Batticaloa,0.2670192923380341,4320.599301585707,16180.850693424904,4.0,2020
LKA.5_1,Colombo,3.7080870754000275,62687.58238330719,16905.63924433853,2.0,2020
LKA.6_1,Galle,1.75882390489081,23394.931715628227,13301.46335319488,6.0,2020
LKA.7_1,Gampaha,1.6639032921864756,22663.15530197629,13620.476267100506,3.0,2020
LKA.8_1,Hambantota,0.768304624907614,8991.6291765676,11703.20844762429,8.0,2020
LKA.9_1,Jaffna,0.3039464739634354,3323.0084201482623,10932.873728773766,6.0,2020
LKA.10_1,Kalutara,2.0208749992733774,28330.584824111058,14018.969423787992,4.0,2021
LKA.11_1,Kandy,0.23457382515871017,2720.5365695800756,11597.784056850287,2.0,2021
LKA.12_1,Kegalle,2.1135229923277024,28201.683542565836,13343.447714995644,3.0,2021
LKA.13_1,Kilinochchi,0.3401047928515799,5190.762955909561,15262.245828375566,4.0,2021
LKA.14_1,Kurunegala,1.3519080476332648,16606.85131301993,12284.009509443285,6.0,2021
LKA.15_1,Mannar,0.10686188737280217,1157.0923331198899,10827.923421221418,5.0,2021
LKA.16_1,Matale,0.2616256129256504,3092.9143787552002,11821.909728823663,3.0,2021
LKA.17_1,Matara,0.9038430256868754,12456.925886935212,13782.178467846863,4.0,2021
LKA.18_1,Moneragala,0.5787912520328065,6770.893621252975,11698.334412402615,8.0,2021
LKA.19_1,Mullaitivu,0.16292342095776097,1905.1131486132833,11693.304359888178,4.0,2021
LKA.1_1,Ampara,0.6868539383778032,11568.574085498742,16842.8445104663,6.0,2021
LKA.20_1,Nuwara Eliya,0.7782755181473865,10451.585867284582,13429.159241914258,2.0,2021
LKA.21_1,Polonnaruwa,0.406186645504852,4772.740483239951,11750.116691571386,4.0,2021
LKA.22_1,Puttalam,0.8578786541078702,10521.025733320488,12264.002237311255,11.0,2021
LKA.23_1,Ratnapura,1.5857697949031735,20276.5414718331,12786.56053167615,5.0,2021
LKA.24_1,Trincomalee,0.21073817047514784,3459.685488054434,16416.98549557462,4.0,2021
LKA.25_1,Vavuniya,0.1583855893469676,1835.8676465681372,11591.128044776797,4.0,2021
LKA.2_1,Anuradhapura,0.8278504832229903,9751.125777571056,11778.848928864474,9.0,2021
LKA.3_1,Badulla,0.5982581295683843,7314.16264945124,12225.76391018384,3.0,2021
LKA.4_1,Batticaloa,0.26906093557173927,4640.119242919023,17245.607330767034,4.0,2021
LKA.5_1,Colombo,3.723732939690543,68125.30804377416,18294.896316983366,2.0,2021
LKA.6_1,Galle,1.7688865153003401,25507.973471974277,14420.356111790057,6.0,2021
LKA.7_1,Gampaha,1.6769239612497682,24640.39062150312,14693.803172291291,3.0,2021
LKA.8_1,Hambantota,0.7733626930009078,10391.396264258006,13436.640218492941,8.0,2021
LKA.9_1,Jaffna,0.3031781753115924,3598.2383288866154,11868.394963418834,6.0,2021
LKA.10_1,Kalutara,2.0644575283092643,25199.9272291615,12206.561231511298,4.0,2022
LKA.11_1,Kandy,0.24220975620019825,2665.8697439036187,11006.450713323648,2.0,2022
LKA.12_1,Kegalle,2.0952750295875093,26374.847832917207,12587.773662395788,3.0,2022
LKA.13_1,Kilinochchi,0.33937486519318216,4858.999182274225,14317.498673652039,4.0,2022
LKA.14_1,Kurunegala,1.3956244568950162,15642.401325097897,11208.17369444721,6.0,2022
LKA.15_1,Mannar,0.10535252124325051,1082.8268138823942,10278.1290955746,5.0,2022
LKA.16_1,Matale,0.26037908201585847,2841.67545318612,10913.608847476646,3.0,2022
LKA.17_1,Matara,0.9103362427216151,11758.350846492638,12916.492055000379,4.0,2022
LKA.18_1,Moneragala,0.5824706564177242,6356.842563155898,10913.584217703543,8.0,2022
